AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2017-05-09 09:50:54.293686	2017-05-09 09:50:55.295077	2017-05-09 09:50:56.296295	2017-05-09 09:50:57.297590	2017-05-09 09:50:58.148494	.00	-0.01	0.00	
2017-05-09 09:51:00.431239	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	-0.01	-0.01	
2017-05-09 09:51:00.433833	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-09 09:51:00.437839	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-09 09:51:00.469250	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	-0.01	-0.01	
2017-05-09 09:51:00.471451	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.474218	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	-0.01	-0.02	
2017-05-09 09:51:00.477794	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.02	
2017-05-09 09:51:00.508818	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	-0.02	
2017-05-09 09:51:00.515086	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	0.00	-0.02	
2017-05-09 09:51:00.521401	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.526381	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.528993	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.563100	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.565970	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.567847	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.569431	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.600622	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.603154	1 - 1.00	-0.00	0.00	0.04	-	-0.01	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.605687	1 - 1.00	-0.00	0.00	0.04	-	-0.01	-0.01	1.00	-	-0.01	0.00	-0.01	
